eval_function_name,count,mean,std,min,25%,50%,75%,max
ragas-answer-relevancy,135.0,0.8897106717735181,0.14283360475685308,0.0,0.8840105564529187,0.9223317718932978,0.9433074673565975,0.9895255274816948
ragas-faithfulness,135.0,0.8931569664902999,0.2680093036389629,0.0,1.0,1.0,1.0,1.0
ragas-precision,136.0,0.9056372548427083,0.2779275195341673,0.0,0.9999999999,0.99999999995,0.99999999995,0.9999999999666667
ragas-recall,136.0,0.9068627450980393,0.2888637495346326,0.0,1.0,1.0,1.0,1.0
