eval_function_name,count,mean,std,min,25%,50%,75%,max
ragas-answer-relevancy,187.0,0.9328465708238486,0.12734829076154622,0.0,0.9228377164218184,0.95678819836602,0.9867792628704497,1.0000000000000004
ragas-faithfulness,187.0,0.7936280613790093,0.33280363979256183,0.0,0.6666666666666666,1.0,1.0,1.0
ragas-precision,188.0,0.9388297871948137,0.18829201189752198,0.0,0.99999999995,0.9999999999666667,0.9999999999666667,0.9999999999666667
ragas-recall,187.0,0.8693149987267634,0.2831880843467185,0.0,1.0,1.0,1.0,1.0
